timestamp,meter_id,location,usage_mw
2027-01-01T00:00:00Z,1,HB_WEST,0.4558
2027-01-01T01:00:00Z,1,HB_WEST,0.3832
2027-01-01T02:00:00Z,1,HB_WEST,0.3594
2027-01-01T03:00:00Z,1,HB_WEST,0.3275
2027-01-01T04:00:00Z,1,HB_WEST,0.3107
2027-01-01T05:00:00Z,1,HB_WEST,0.319
2027-01-01T06:00:00Z,1,HB_WEST,0.3044
2027-01-01T07:00:00Z,1,HB_WEST,0.2988
2027-01-01T08:00:00Z,1,HB_WEST,0.3001
2027-01-01T09:00:00Z,1,HB_WEST,0.3109
2027-01-01T10:00:00Z,1,HB_WEST,0.313
2027-01-01T11:00:00Z,1,HB_WEST,0.3317
2027-01-01T12:00:00Z,1,HB_WEST,0.3516
2027-01-01T13:00:00Z,1,HB_WEST,0.4019
2027-01-01T14:00:00Z,1,HB_WEST,0.4591
2027-01-01T15:00:00Z,1,HB_WEST,0.54
2027-01-01T16:00:00Z,1,HB_WEST,0.641
2027-01-01T17:00:00Z,1,HB_WEST,0.731
2027-01-01T18:00:00Z,1,HB_WEST,0.7741
2027-01-01T19:00:00Z,1,HB_WEST,0.7875
2027-01-01T20:00:00Z,1,HB_WEST,0.7851
2027-01-01T21:00:00Z,1,HB_WEST,0.7004
2027-01-01T22:00:00Z,1,HB_WEST,0.617
2027-01-01T23:00:00Z,1,HB_WEST,0.5319
2027-01-02T00:00:00Z,1,HB_WEST,0.3657
2027-01-02T01:00:00Z,1,HB_WEST,0.3314
2027-01-02T02:00:00Z,1,HB_WEST,0.316
2027-01-02T03:00:00Z,1,HB_WEST,0.3189
2027-01-02T04:00:00Z,1,HB_WEST,0.3141
2027-01-02T05:00:00Z,1,HB_WEST,0.3077
2027-01-02T06:00:00Z,1,HB_WEST,0.302
2027-01-02T07:00:00Z,1,HB_WEST,0.3072
2027-01-02T08:00:00Z,1,HB_WEST,0.3001
2027-01-02T09:00:00Z,1,HB_WEST,0.3163
